Data,Horario,CPF_Paciente,CRM_Medico
2028-01-26,16:45,16338973622,94979
2013-12-09,17:45,88955304230,72536
2003-10-26,16:00,61587244222,33288
2023-11-24,12:45,46571471044,97993
2023-07-14,16:00,73660818978,58194
2001-11-15,15:30,82291329511,86048
2016-10-06,14:45,68831482969,17555
2008-05-10,13:45,42737304745,49233
2023-09-01,08:15,31611482705,19053
2023-06-03,10:45,87408563541,89911
2017-03-14,09:15,25089148879,32737
2012-06-08,10:00,39096300654,61914
2029-07-03,13:00,68106065836,24119
2010-08-26,12:15,90995170771,17416
2019-10-05,17:45,89082993903,77745
2005-08-09,09:00,54835712266,19110
2028-05-21,16:15,84998786554,61088
2024-06-16,08:00,84998786554,27064
2013-02-01,10:15,39523225718,70796
2008-04-06,08:15,53500952405,83888
2029-11-06,15:30,72576594426,52419
2024-07-19,14:15,98266753913,59190
2022-06-21,11:15,80185058787,70323
2025-05-20,09:30,35875917099,82312
2006-09-06,17:45,91672972562,48686
2019-03-06,10:00,36754268094,26413
2011-06-29,14:15,67117722485,77745
2023-06-12,12:15,29617941182,40932
2002-02-14,10:30,30472801464,97993
2012-09-18,13:00,52630917553,24119
2008-09-03,11:15,90995170771,48686
2010-10-20,10:00,87408563541,48686
2014-07-22,15:45,98266753913,17555
2018-03-28,11:00,82291329511,70323
2003-12-13,08:30,54835712266,70323
2000-09-20,08:30,36414721957,94979
2003-03-04,17:15,58850690003,32737
2020-08-19,12:30,80185058787,17555
2010-01-02,10:15,12269211764,61914
2029-04-20,16:45,46571471044,17555
2025-02-25,15:30,25089148879,58194
2007-09-17,11:30,68414489144,13602
2012-05-07,10:00,93846310244,83888
2000-01-03,13:45,35909255544,70323
2024-10-31,08:45,43019498772,59190
2013-03-15,11:30,84059836494,27064
2015-12-20,15:15,97971603627,97993
2010-01-20,12:30,41390459921,17591
2026-06-24,10:45,19509566264,70323
2019-01-31,10:30,86198236753,59190
2010-03-05,17:30,89486027861,70796
2028-05-08,12:45,97637457038,59190
2012-07-09,14:15,86789510447,24119
2027-04-24,13:15,15348452199,49233
2007-12-25,14:00,66207993315,82312
2030-10-06,17:15,17269489451,86048
2012-03-31,14:15,16338973622,17555
2010-10-18,08:30,36754268094,27064
2018-06-29,15:15,73820845451,77745
2014-03-18,17:30,73660818978,17555
2015-03-03,14:00,52620888200,39701
2007-11-26,08:00,88955304230,40932
2013-03-15,17:45,86411123365,72536
2001-05-28,14:30,68492407050,94979
2015-07-25,10:15,45351869329,94979
2021-02-09,08:30,68831482969,49233
2014-01-11,12:15,89082993903,61914
2028-05-14,17:45,16559429673,13602
2001-07-02,13:00,53500952405,52419
2026-09-06,11:30,69391037677,86048
2027-12-28,09:30,41773845911,70323
2014-07-09,08:15,20124336911,40932
2012-07-27,17:00,76289627587,97993
2029-05-15,13:30,19800913833,94979
2026-09-27,15:30,91620896070,52419
2012-07-12,11:45,82069295523,33288
2012-01-25,08:45,31611482705,48686
2005-04-26,09:15,42737304745,72536
2006-02-05,08:00,39523225718,61088
2002-01-20,16:45,61587244222,48686
2025-10-05,09:00,67414783494,59190
